44, 7, 37
0, 31, 13
34, 11, 28
27, 4, 49
22, 26, 14
53, 9, 28
12, 8, 41
38, 2, 7
43, 8, 16
8, 0, 27
53, 3, 45
9, 35, 22
29, 27, 27
21, 41, 35
59, 43, 33
40, 28, 47
23, 27, 18
59, 15, 39
51, 4, 6
56, 23, 11
52, 17, 3
8, 24, 17
10, 22, 39
40, 22, 12
27, 12, 26
26, 28, 11
17, 5, 14
5, 11, 29
10, 46, 36
3, 47, 15
25, 40, 38
62, 14, 44
59, 39, 5
61, 42, 13
8, 12, 3
0, 36, 48
45, 21, 8
8, 47, 39
8, 21, 42
25, 26, 43
1, 44, 21
49, 13, 20
61, 27, 3
38, 33, 2
57, 37, 10
28, 16, 21
1, 46, 2
24, 7, 34
58, 13, 7
52, 10, 12
43, 3, 33
49, 14, 24
41, 40, 1
22, 36, 38
57, 33, 29
51, 14, 23
46, 14, 6
6, 11, 15
36, 19, 32
18, 29, 2
43, 33, 43
42, 5, 9
19, 5, 19
30, 17, 4
50, 6, 28
62, 24, 40
1, 33, 24
57, 4, 5
38, 46, 22
58, 33, 29
57, 37, 36
6, 11, 22
9, 26, 41
24, 14, 8
35, 5, 41
22, 43, 30
10, 19, 9
59, 30, 44
4, 11, 16
5, 3, 19
61, 7, 12
45, 41, 10
16, 9, 35
40, 39, 30
54, 23, 1
13, 2, 33
12, 15, 1
57, 43, 1
14, 25, 35
5, 14, 9
26, 34, 38
6, 8, 26
56, 47, 45
5, 44, 8
9, 21, 44
22, 18, 37
51, 1, 15
58, 23, 42
26, 26, 31
59, 21, 31
