50, 20, 162
18, 22, 331
30, 21, 433
4, 41, 191
14, 39, 430
44, 36, 453
36, 31, 93
22, 34, 313
61, 31, 52
57, 40, 104
42, 20, 171
52, 37, 188
31, 34, 10
4, 45, 70
28, 8, 411
11, 30, 154
38, 11, 82
7, 11, 192
8, 10, 185
3, 31, 53
30, 41, 202
2, 47, 139
6, 9, 419
56, 9, 13
37, 9, 291
31, 39, 326
37, 34, 90
36, 23, 340
31, 14, 182
49, 28, 53
49, 6, 386
18, 6, 63
19, 39, 475
44, 33, 216
21, 5, 342
60, 28, 266
52, 8, 228
22, 42, 455
53, 24, 251
52, 39, 228
55, 26, 306
19, 37, 452
17, 31, 395
12, 16, 111
36, 21, 62
17, 38, 373
60, 35, 142
14, 23, 254
37, 36, 102
3, 40, 54
10, 11, 354
32, 24, 77
12, 14, 143
9, 9, 237
54, 26, 393
49, 33, 172
10, 46, 292
28, 17, 442
35, 43, 385
5, 42, 237
32, 23, 60
51, 21, 259
32, 7, 246
5, 15, 179
13, 24, 79
60, 19, 409
39, 41, 471
4, 9, 469
35, 39, 134
60, 5, 107
20, 17, 29
63, 27, 202
37, 20, 87
9, 40, 50
6, 39, 66
19, 30, 339
1, 24, 414
42, 7, 146
30, 36, 144
61, 9, 349
62, 10, 493
40, 33, 495
47, 22, 430
56, 15, 484
32, 31, 241
40, 24, 189
49, 6, 134
23, 22, 305
35, 8, 16
6, 45, 188
24, 5, 42
36, 37, 17
30, 11, 307
38, 17, 397
6, 20, 150
5, 39, 442
52, 7, 308
43, 26, 136
13, 10, 460
43, 14, 17
