6, 47, 13
37, 33, 27
9, 28, 1
32, 37, 19
55, 22, 1
46, 10, 13
60, 7, 8
17, 29, 3
24, 20, 17
34, 15, 33
27, 30, 35
55, 35, 45
37, 19, 11
24, 37, 15
18, 40, 29
37, 18, 0
61, 20, 25
30, 6, 23
55, 44, 13
26, 19, 28
54, 37, 41
30, 46, 4
1, 21, 16
23, 6, 26
33, 17, 18
12, 28, 8
46, 21, 18
42, 26, 30
43, 6, 43
37, 23, 41
26, 44, 0
34, 7, 15
39, 22, 24
62, 19, 42
10, 20, 6
3, 15, 44
28, 30, 5
40, 23, 21
54, 14, 19
63, 46, 32
35, 34, 16
58, 18, 11
34, 28, 49
8, 41, 28
0, 24, 20
5, 30, 18
63, 22, 43
51, 15, 49
57, 11, 1
60, 22, 34
45, 7, 23
0, 12, 32
55, 8, 1
33, 46, 3
9, 8, 7
1, 18, 24
32, 45, 36
51, 40, 21
28, 12, 8
20, 23, 26
63, 46, 26
38, 19, 0
58, 13, 47
38, 42, 26
45, 41, 16
24, 6, 24
2, 9, 11
50, 22, 43
0, 7, 21
12, 6, 46
1, 28, 31
0, 39, 12
35, 18, 37
57, 20, 13
62, 10, 15
25, 43, 9
57, 21, 41
45, 37, 17
33, 39, 34
27, 25, 9
42, 42, 12
18, 13, 34
56, 28, 36
43, 5, 6
26, 13, 36
23, 9, 13
19, 35, 32
62, 35, 48
58, 27, 21
13, 39, 42
34, 10, 48
56, 34, 0
43, 47, 22
33, 36, 25
63, 28, 36
49, 25, 9
9, 31, 46
4, 24, 21
29, 21, 43
26, 6, 21
